diff,send,accept1,position,time_limit,gotype2,para1,add,mainshow,season,quest_pre,pre,duration,reward_para,extra_reward,listType,name,type2,icon,accept2,id,type1,guide_complete,autoreward,bp_score,list,gopara,reward,is_chapter,autoopen,order,bubble,sub_icon,para3,desctype,desc,type,para2,progressshow
"","","","1","",36,"[""16007""]","","","","","200016004","","","","0","170400","300","UI_building_10114000","10100099",200016007,"1","","","{}","200","[""20""]","102021862","0","",1,"","","",16,"172000",1,1,""
"","","","1","",36,"[""16010""]","","","","","200016007","","","","0","170400","300","UI_building_10114000","10100099",200016010,"1","","","{}","200","[""20""]","102021863","0","",1,"","","",16,"172000",1,1,""
"","","","1","",0,"{}","1","","1-1","","","","","","1","302159","388","dikuaishengji","10100010",601039001,"1","","","{}","630","{}","109001201","0","",3500,"","","",1,"season_quest_desc009",1,10000,"1"
"","","","1","",0,"{}","1","","1-1","","","","","","1","302159","388","dikuaishengji","10100010",601039002,"1","","","{}","630","{}","109001201","0","",3501,"","","",1,"season_quest_desc009",1,20000,"1"
"","","","1","",0,"{}","1","","1-1","","","","","","1","302159","388","dikuaishengji","10100010",601039003,"1","","","{}","630","{}","109001201","0","",3502,"","","",1,"season_quest_desc009",1,30000,"1"
"","","","1","",0,"{}","1","","1-1","","","","","","1","302159","388","dikuaishengji","10100010",601039004,"1","","","{}","630","{}","109001201","0","",3503,"","","",1,"season_quest_desc009",1,40000,"1"
"","","","1","",0,"{}","1","","1-1","","","","","","1","302159","388","dikuaishengji","10100010",601039005,"1","","","{}","630","{}","109001201","0","",3504,"","","",1,"season_quest_desc009",1,50000,"1"
"","","","1","",0,"{}","1","","1-1","","","","","","1","302159","388","dikuaishengji","10100010",601039006,"1","","","{}","630","{}","109001201","0","",3505,"","","",1,"season_quest_desc009",1,60000,"1"
"","","","1","",0,"{}","1","","1-1","","","","","","1","302159","388","dikuaishengji","10100010",601039007,"1","","","{}","630","{}","109001201","0","",3506,"","","",1,"season_quest_desc009",1,70000,"1"
"","","","1","",1,"{}","1","","","","","","","","1","170413","63","UI_building_10114000","10100000",420004000,"1","","","{}","403","[""10120000"",""70""]","102023350","0","",545,"","","",1,"372215",1,4000,"1"
"","","","1","",0,"{}","1","","1-1","","","","","","1","302159","388","dikuaishengji","10100010",601039009,"1","","","{}","630","{}","109001201","0","",3508,"","","",1,"season_quest_desc009",1,90000,"1"
"","","","1","",0,"{}","1","","1-1","","","","","","1","302159","388","dikuaishengji","10100010",601039010,"1","","","{}","630","{}","109001201","0","",3509,"","","",1,"season_quest_desc009",1,100000,"1"
"","","","1","",0,"{}","1","","1-1","","","","","","1","302159","388","dikuaishengji","10100010",601039011,"1","","","{}","630","{}","109001201","0","",3510,"","","",1,"season_quest_desc009",1,110000,"1"
"","","","1","",0,"{}","1","","1-1","","","","","","1","302159","388","dikuaishengji","10100010",601039012,"1","","","{}","630","{}","109001201","0","",3511,"","","",1,"season_quest_desc009",1,120000,"1"
"","","","1","",54,"[""50""]","1","","","","","","","","","170414","59","UITask_icon_11","10100000",1016001,"2","","","{}","","[""15""]","102011601","1","",1,"","","",1,"170061",1,3,"1"
"","","","1","",36,"[""7005""]","","","","","","","","","","170400","300","UITask_Enemy_1","10100000",1016002,"2","","","{}","","[""11""]","102011601","1","",2,"","","",1,"172013",1,1,"1"
"","","","1","",7,"[""10201000""]","1","","","","","","","","","170401","8","UI_building_10201000","10100000",1016003,"2","","","{}","","[""10201000""]","102011601","1","",3,"","1","",2,"170046",1,4,"1"
"","","","1","",1,"[""10107000""]","1","","","","","","","","","170400","0","UI_building_10107000","10100000",1016004,"2","","","{}","","[""10107000"",""5""]","102011601","1","",4,"","1","",2,"371034",1,12,"1"
"","","","1","",36,"[""7010""]","","","","","","","","","","170400","300","UITask_Enemy_1","10100000",1016005,"2","","","{}","","[""11""]","102011601","1","",5,"","","",1,"172014",1,1,"1"
"","","","1","",36,"[""11""]","","","","","","","","","","170400","240","UITask_zombielord","10100000",1016006,"2","","","{}","","[""11""]","102011601","1","",6,"","","",2,"170083",1,1,"1"
"","","","1","",1,"[""10120000""]","1","","","","","","","","","170400","0","UI_building_10120000","10100000",1016007,"2","","","{}","","[""10120000"",""5""]","102011601","1","",7,"","1","",2,"371034",1,12,"1"
"","","","1","",1,"[""10116000""]","1","","","","","","","","","170400","0","UI_building_10116000","10100000",1016008,"2","","","{}","","[""10116000"",""5""]","102011601","1","",8,"","1","",2,"371034",1,12,"1"
"","","","1","",1,"[""10100000""]","","","","","","","","","","170400","311","UI_building_10100000","10100000",1016009,"2","","","{}","","[""10100000"",""5""]","102011602","1","",9,"","1","12",2,"372012",1,1,"1"
"","","","","",0,"{}","","","","","","","1","","","2000013","83","","",8610001,"10","","","{}","","{}","","","",1,"","","",1,"2000029",10,1,""
"","","","","",0,"{}","","","","","","","1","","","2000013","83","","",8610002,"10","","","{}","","{}","","","",2,"","","",1,"2000029",10,2,""
"","","","","",0,"{}","","","","","","","1","","","2000013","83","","",8610003,"10","","","{}","","{}","","","",3,"","","",1,"2000029",10,3,""
"","","","","",0,"{}","","","","","","","1","","","2000013","83","","",8610004,"10","","","{}","","{}","","","",4,"","","",1,"2000029",10,4,""
"","","","","",0,"{}","","","","","","","1","","","2000013","83","","",8610005,"10","","","{}","","{}","","","",5,"","","",1,"2000029",10,5,""
"","","","","",0,"{}","","","","","","","1","","","2000013","83","","",8610006,"10","","","{}","","{}","","","",4,"","","",1,"2000029",10,6,""
"","","","1","",11,"{}","1","","","","","","","","1","2000020","99","UI_building_10114000","10100000",540000500,"1","","","{}","505","[""9""]","102023807","0","",908,"","","",1,"371042",1,200,"1"
"","","","1","",1,"[""10106000""]","","","","","","","","","1","170400","311","UI_building_10114000","10100004",300106002,"1","","","{}","308","[""10106000"",""5""]","102020002","0","",40,"","","1",2,"372001",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106002","","","","1","170400","311","UI_building_10114000","10100004",300106003,"1","","","{}","308","[""10106000"",""5""]","102020002","0","",50,"","","2",2,"372002",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106003","","","","1","170400","311","UI_building_10114000","10100004",300106004,"1","","","{}","308","[""10106000"",""5""]","102020002","0","",60,"","","3",2,"372003",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106004","","","","1","170400","311","UI_building_10114000","10100005",300106005,"1","","","{}","308","[""10106000"",""5""]","102020002","0","",70,"","","4",2,"372004",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106005","","","","1","170400","311","UI_building_10114000","10100006",300106006,"1","","","{}","308","[""10106000"",""5""]","102020002","0","",80,"","","5",2,"372005",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106006","","","","1","170400","311","UI_building_10114000","10100007",300106007,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",90,"","","6",2,"372006",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106007","","","","1","170400","311","UI_building_10114000","10100008",300106008,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",100,"","","7",2,"372007",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106008","","","","1","170400","311","UI_building_10114000","10100009",300106009,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",110,"","","8",2,"372008",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106009","","","","1","170400","311","UI_building_10114000","10100010",300106010,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",120,"","","9",2,"372009",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106010","","","","1","170400","311","UI_building_10114000","10100011",300106011,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",130,"","","10",2,"372010",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106011","","","","1","170400","311","UI_building_10114000","10100012",300106012,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",140,"","","11",2,"372011",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106012","","","","1","170400","311","UI_building_10114000","10100013",300106013,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",150,"","","12",2,"372012",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106013","","","","1","170400","311","UI_building_10114000","10100014",300106014,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",160,"","","13",2,"372013",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106014","","","","1","170400","311","UI_building_10114000","10100015",300106015,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",170,"","","14",2,"372014",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106015","","","","1","170400","311","UI_building_10114000","10100016",300106016,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",180,"","","15",2,"372015",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106016","","","","1","170400","311","UI_building_10114000","10100017",300106017,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",190,"","","16",2,"372016",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106017","","","","1","170400","311","UI_building_10114000","10100018",300106018,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",200,"","","17",2,"372017",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106018","","","","1","170400","311","UI_building_10114000","10100019",300106019,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",210,"","","18",2,"372018",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106019","","","","1","170400","311","UI_building_10114000","10100020",300106020,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",220,"","","19",2,"372019",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106020","","","","1","170400","311","UI_building_10114000","10100021",300106021,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",230,"","","20",2,"372020",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106021","","","","1","170400","311","UI_building_10114000","10100022",300106022,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",240,"","","21",2,"372021",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106022","","","","1","170400","311","UI_building_10114000","10100023",300106023,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",250,"","","22",2,"372022",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106023","","","","1","170400","311","UI_building_10114000","10100024",300106024,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",260,"","","23",2,"372023",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106024","","","","1","170400","311","UI_building_10114000","10100025",300106025,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",270,"","","24",2,"372024",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106025","","","","1","170400","311","UI_building_10114000","10100026",300106026,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",280,"","","25",2,"372025",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106026","","","","1","170400","311","UI_building_10114000","10100027",300106027,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",290,"","","26",2,"372026",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106027","","","","1","170400","311","UI_building_10114000","10100028",300106028,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",300,"","","27",2,"372027",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106028","","","","1","170400","311","UI_building_10114000","10100029",300106029,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",310,"","","28",2,"372028",1,1,"1"
"","","","1","",1,"[""10106000""]","","","","","300106029","","","","1","170400","311","UI_building_10114000","10100030",300106030,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",320,"","","29",2,"372029",1,1,"1"
"","","","1","2;57",1,"[""10106000""]","","","","","300106030","","","","1","170400","311","UI_building_10114000","10100031",300106031,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",330,"","","30",2,"task_desc_building_31",1,1,"1"
"","","","1","2;57",1,"[""10106000""]","","","","","300106031","","","","1","170400","311","UI_building_10114000","10100032",300106032,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",340,"","","31",2,"task_desc_building_32",1,1,"1"
"","","","1","2;57",1,"[""10106000""]","","","","","300106032","","","","1","170400","311","UI_building_10114000","10100033",300106033,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",350,"","","32",2,"task_desc_building_33",1,1,"1"
"","","","1","2;57",1,"[""10106000""]","","","","","300106033","","","","1","170400","311","UI_building_10114000","10100034",300106034,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",360,"","","33",2,"task_desc_building_34",1,1,"1"
"","","","1","2;57",1,"[""10106000""]","","","","","300106034","","","","1","170400","311","UI_building_10114000","10100035",300106035,"1","","","{}","308","[""10106000"",""5""]","102020000","0","",370,"","","34",2,"task_desc_building_35",1,1,"1"
"","","","1","",36,"[""8001""]","","","","","200007010","","","","0","170400","300","UI_building_10114000","10100099",200008001,"1","","","{}","200","[""12""]","102021828","0","",1,"","","",16,"172000",1,1,""
"","","","","",0,"{}","1","","","","","","","","","2000784","89","","",8520002,"12","","","{}","","{}","200010412","","",2,"","","",1,"2000043",12,800,""
"","","","","",0,"{}","1","","","","","","","","","2000784","89","","",8520003,"12","","","{}","","{}","200010413","","",3,"","","",1,"2000043",12,2000,""
"","","","1","",36,"[""8004""]","","","","","200008001","","","","0","170400","300","UI_building_10114000","10100099",200008004,"1","","","{}","200","[""12""]","102021829","0","",1,"","","",16,"172000",1,1,""
"","","","","",0,"{}","1","","","","","","","","","2000784","89","","",8520005,"12","","","{}","","{}","200010415","","",5,"","","",1,"2000043",12,6000,""
"","","","1","",36,"[""8007""]","","","","","200008004","","","","0","170400","300","UI_building_10114000","10100099",200008007,"1","","","{}","200","[""12""]","102021830","0","",1,"","","",16,"172000",1,1,""
"","","","1","",36,"[""8010""]","","","","","200008007","","","","0","170400","300","UI_building_10114000","10100099",200008010,"1","","","{}","200","[""12""]","102021831","0","",1,"","","",16,"172000",1,1,""
"","","","","",0,"{}","","","","","","","","","","2000013","83","","",7111001,"12","","","{}","","{}","276101101","","",1,"","","",1,"2000029",12,1,""
"","","","","",0,"{}","","","","","","","","","","2000013","83","","",7111002,"12","","","{}","","{}","276101102","","",2,"","","",1,"2000029",12,2,""
"","","","","",0,"{}","","","","","","","","","","2000013","83","","",7111003,"12","","","{}","","{}","276101103","","",3,"","","",1,"2000029",12,3,""
"","","","","",0,"{}","","","","","","","","","","2000013","83","","",7111004,"12","","","{}","","{}","276101104","","",4,"","","",1,"2000029",12,4,""
"","","","","",0,"{}","","","","","","","","","","2000013","83","","",7111005,"12","","","{}","","{}","276101105","","",5,"","","",1,"2000029",12,5,""
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031006,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3100,"","","",2,"372005",1,6,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031007,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3101,"","","",2,"372006",1,7,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031008,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3102,"","","",2,"372007",1,8,"1"
"","","","","",0,"{}","1","","","","","","","","","","326","","",2204001,"13","","","{}","","{}","108410001","","",0,"","","",0,"2000191",13,500,""
"","","","","",0,"{}","1","","","","","","","","","","326","","",2204002,"13","","","{}","","{}","108410002","","",0,"","","",0,"2000191",13,1000,""
"","","","","",0,"{}","1","","","","","","","","","","326","","",2204003,"13","","","{}","","{}","108410003","","",0,"","","",0,"2000191",13,3000,""
"","","","","",0,"{}","1","","","","","","","","","","326","","",2204004,"13","","","{}","","{}","108410004","","",0,"","","",0,"2000191",13,6000,""
"","","","","",0,"{}","1","","","","","","","","","","326","","",2204005,"13","","","{}","","{}","108410005","","",0,"","","",0,"2000191",13,10000,""
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031014,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3108,"","","",2,"372013",1,14,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031015,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3109,"","","",2,"372014",1,15,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031016,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3110,"","","",2,"372015",1,16,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031017,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3111,"","","",2,"372016",1,17,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031018,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3112,"","","",2,"372017",1,18,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031019,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3113,"","","",2,"372018",1,19,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031020,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3114,"","","",2,"372019",1,20,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031021,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3115,"","","",2,"372020",1,21,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031022,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3116,"","","",2,"372021",1,22,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031023,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3117,"","","",2,"372022",1,23,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031024,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3118,"","","",2,"372023",1,24,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031025,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3119,"","","",2,"372024",1,25,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031026,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3120,"","","",2,"372025",1,26,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031027,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3121,"","","",2,"372026",1,27,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031028,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3122,"","","",2,"372027",1,28,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031029,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3123,"","","",2,"372028",1,29,"1"
"","","","1","",1,"[""760000""]","1","","1-1","","","","","","1","season_person_building_name001","0","dikuaishengji","10100010",601031030,"1","","","{}","622","[""760000"",""5""]","109001201","0","",3124,"","","",2,"372029",1,30,"1"
"","","","1","",1,"[""10103000""]","1","","","","","","","","","170400","311","UI_building_10103000","10100000",1008001,"2","","","{}","","[""10103000"",""5""]","102010801","1","",8,"","1","2",2,"372002",1,1,"1"
"","","","1","",1,"[""1""]","","","","","","","","","","170400","92","A_build_zhangpeng","10100000",1008002,"2","","","{}","","[""10103000""]","102010801","1","",1,"","","",2,"170548",1,20,"1"
"","","","1","",1,"[""10201000""]","1","","","","","","","","","170401","233","UI_building_10201000","10100000",1008003,"2","","","{}","","[""10201000"",""5""]","102010801","1","",2,"","1","4",2,"170547",1,2,"1"
"","","","1","",1,"[""10202000""]","1","","","","","","","","","170400","311","UI_building_10202000","10100000",1008004,"2","","","{}","","[""10202000"",""5""]","102010801","1","",4,"","1","3",2,"372003",1,1,"1"
"","","","1","",1,"[""10206000""]","1","","","","","","","","","170400","311","UI_building_10206000","10100000",1008005,"2","","","{}","","[""10206000"",""5""]","102010801","1","",6,"","1","3",2,"372003",1,1,"1"
"","","","1","",1,"[""10100000""]","","","","","","","","","","170400","311","UI_building_10100000","10100000",1008006,"2","","","{}","","[""10100000"",""5""]","102010801","1","",9,"","1","4",2,"372004",1,1,"1"
"","","","1","",36,"[""3007""]","","","","","","","","","","170400","300","UITask_Enemy_1","10100000",1008007,"2","","","{}","","[""7""]","102010701","1","",3,"","","",1,"172040",1,1,"1"
"","","","1","",36,"[""3009""]","","","","","","","","","","170400","300","UITask_Enemy_1","10100000",1008008,"2","","","{}","","[""7""]","102010701","1","",5,"","","",1,"172041",1,1,"1"
"","","","1","",36,"[""3010""]","","","","","","","","","","170400","300","UITask_Enemy_1","10100000",1008009,"2","","","{}","","[""7""]","102010701","1","",7,"","","",1,"172006",1,1,"1"
"","","","1","",12,"[""1""]","1","","","","","","","","1","","9","UI_building_10114000","10100000",520004000,"1","","","{}","503","[""1""]","102020000","0","",319,"","","",8,"170427",1,4000000,"1"
"","","","1","",0,"{}","","","2-2","","","","","","","season_s2_activity_task_name001","458","","10100010",80200101,"102","","","{}","","{}","109010113","0","",0,"","","",1,"season_s2_activity_task_desc001",17,5,"1"
"","","","2","",0,"{}","","","2-2","","","","","","","season_s2_activity_task_name001","458","","10100010",80200102,"102","","","{}","","{}","109010113","0","",0,"","","",1,"season_s2_activity_task_desc001",17,10,"1"
"","","","3","",0,"{}","","","2-2","","","","","","","season_s2_activity_task_name001","458","","10100010",80200103,"102","","","{}","","{}","109010113","0","",0,"","","",1,"season_s2_activity_task_desc001",17,15,"1"
"","","","4","",0,"{}","","","2-2","","","","","","","season_s2_activity_task_name001","458","","10100010",80200104,"102","","","{}","","{}","109010113","0","",0,"","","",1,"season_s2_activity_task_desc001",17,20,"1"
"","","","5","",0,"{}","","","2-2","","","","","","","season_s2_activity_task_name001","458","","10100010",80200105,"102","","","{}","","{}","109010113","0","",0,"","","",1,"season_s2_activity_task_desc001",17,25,"1"
"","","","6","",0,"{}","","","2-2","","","","","","","season_s2_activity_task_name001","458","","10100010",80200106,"102","","","{}","","{}","109010113","0","",0,"","","",1,"season_s2_activity_task_desc001",17,30,"1"
"","","","7","",0,"{}","","","2-2","","","","","","","season_s2_activity_task_name001","458","","10100010",80200107,"102","","","{}","","{}","109010113","0","",0,"","","",1,"season_s2_activity_task_desc001",17,35,"1"
"","","","8","",0,"{}","","","2-2","","","","","","","season_s2_activity_task_name001","458","","10100010",80200108,"102","","","{}","","{}","109010113","0","",0,"","","",1,"season_s2_activity_task_desc001",17,40,"1"
"","","","9","",0,"{}","","","2-2","","","","","","","season_s2_activity_task_name001","458","","10100010",80200109,"102","","","{}","","{}","109010113","0","",0,"","","",1,"season_s2_activity_task_desc001",17,45,"1"
"","","","10","",0,"{}","","","2-2","","","","","","","season_s2_activity_task_name001","458","","10100010",80200110,"102","","","{}","","{}","109010113","0","",0,"","","",1,"season_s2_activity_task_desc001",17,50,"1"
"","","","","",1,"[""2""]","1","","","","","","","","","2000782","9","UI_building_10114000","",8430001,"12","","","{}","","[""10100000"",""5""]","200010321","","",1,"","","",8,"170427",12,180000,""
"","","","","",1,"[""2""]","1","","","","","","","","","2000782","9","UI_building_10114000","",8430002,"12","","","{}","","[""10100000"",""5""]","200010322","","",2,"","","",8,"170427",12,480000,""
"","","","","",1,"[""2""]","1","","","","","","","","","2000782","9","UI_building_10114000","",8430003,"12","","","{}","","[""10100000"",""5""]","200010323","","",3,"","","",8,"170427",12,840000,""
"","","","","",1,"[""2""]","1","","","","","","","","","2000782","9","UI_building_10114000","",8430004,"12","","","{}","","[""10100000"",""5""]","200010324","","",4,"","","",8,"170427",12,1200000,""
"","","","","",1,"[""2""]","1","","","","","","","","","2000782","9","UI_building_10114000","",8430005,"12","","","{}","","[""10100000"",""5""]","200010325","","",5,"","","",8,"170427",12,1560000,""
