para8,model,ban_move,building_effect,building_action,equal_glue_value,offer_range,is_stationed,produce_goods,building_show,produce_time,long_description,click_sfx,cost_resource,name,recommended_location,open_arms,mono_condition,zone,item,unlock_player_level,reward_show,building_inside,description,ruinTime,scan,time,building_prerequisites,build_type,need_science,disrecommend,max_hp,effect_local,tiles_2,upgrade_type,building_effect_last_hide,play_music_para,hero_slots,building_effect_last,para5,level_up,local_num,guard,display_range,model_garbage,coal_normal,time_condition,people,building_effect_local,exp_hero_show,produce_gain_consume,default_army,para1,season_group,direct_exchange,building,cost_consume,season_score,building_mail,receiving_building,working_perform,hero_sort,produce_cost_resource,hummer_build,produce_gain_resource,max_level,detail_desc,tab_type,need_talent,exp,need_pve,storage_resource,produce_cost_consume,pic,para7,para6,unlock_num,para4,id,red_dot,put,para3,effect_condition,effect_number_condition,bd_effect_result,reward,coal_overload,order,display_gallery_condition,no_queue,tiles,glue_exchange_id,resBuild,temperature_status,sup_main_build_id,main_sup_build_id,gift_id,zone_radius,buildclassification,model_world,display_order_gallery,season_mastery,para2,power
"","building_10118000",0,"","","",0,"","",0,"","135163","","","800365","7,4","","","3;0","",0,"",1,"135143","0",2,9661510,"",0,"","",0,"135172,1;scout_speed_name,3","3;3","","","","0","40022;1|30502;0.34|90016;1","",0,"312400;34","0","1","","{}","2;57","","",58000000,"","","","","","10216000;35","1;530000000|14;530000000|2;85000000|23;440640","","","","0","10113034","","{}","",35,"",2,"",0,0,"","","UI_building_10118000","","","1;10100000,2|2;10100000,11|3;10100000,19","",10113034,0,"","","","","30502;4;30502","105023234","{}",0,"",0,2,"","0","",0,"","",0,0,"","","","",312400
"","building_10118000",0,"","","",0,"","",0,"","135163","","","800365","7,4","","","3;0","",0,"",1,"135143","0",2,0,"",0,"","",0,"135172,1;scout_speed_name,3","3;3","","","","0","40022;1|30502;0.35|90016;1","",0,"347100;35","0","1","","{}","2;57","","",0,"","","","","","","","","","","0","10113035","","{}","",35,"",2,"",0,0,"","","UI_building_10118000","","","1;10100000,2|2;10100000,11|3;10100000,19","",10113035,0,"","","","","30502;4;30502","105023235","{}",0,"",0,2,"","0","",0,"","",0,0,"","","","",347100
"","building_feixu_2",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","19,-27","","","5;0","",0,"",1,"season_s2_building_description01","",2,6,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","","",0,"","","1","","{}","","","",0,"","","","20","","10100000;10","10;4200|13;4200","7","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766000,1,"","","1000","94054;1","","105031000","{}",64,"",1,2,"","","",0,"","",0,0,"","","","",0
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,1125,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.01|75153;0.01|75253;0.01","",0,"1;600;1;1;1","","1","","{}","","","",160000,"","","","20","","10100000;10","10;16800|13;8400","12","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766001,1,"","","1000","94054;1","","105031001","{}",64,"",0,2,"","","",0,"","",0,0,"","","27000","",600
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,1688,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.02|75153;0.02|75253;0.02","",0,"1;1200;2;2;2","","1","","{}","","","",240000,"","","","20","","10100000;10","10;33600|13;16800","15","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766002,1,"","","1000","94054;1","","105031002","{}",64,"",0,2,"","","",0,"","",0,0,"","","31100","",1200
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,2532,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.03|75153;0.03|75253;0.03","",0,"1;1900;3;3;3","","1","","{}","","","",360000,"","","","20","","10100000;10","10;67200|13;33600","18","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766003,1,"","","1000","94054;1","","105031003","{}",64,"",0,2,"","","",0,"","",0,0,"","","35700","",1900
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,3797,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.04|75153;0.04|75253;0.04","",0,"1;3000;4;4;4","","1","","{}","","","",550000,"","","","20","","10100000;10","10;134400|13;67200","22","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766004,1,"","","1000","94054;1","","105031004","{}",64,"",0,2,"","","",0,"","",0,0,"","","41100","",3000
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,5696,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.05|75153;0.05|75253;0.05","",0,"1;4600;5;5;5","","1","","{}","","","",820000,"","","","20","","10100000;10","10;188200|13;100800","27","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766005,1,"","","1000","94054;1","","105031005","{}",64,"",0,2,"","","",0,"","",0,0,"","","47200","",4600
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,8543,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.06|75153;0.06|75253;0.06","",0,"1;6500;6;6;6","","1","","{}","","","",1200000,"","","","20","","10100000;10","10;244600|13;151200","29","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766006,1,"","","1000","94054;1","","105031006","{}",64,"",0,2,"","","",0,"","",0,0,"","","54300","",6500
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,12815,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.07|75153;0.07|75253;0.07","",0,"1;8800;7;7;7","","1","","{}","","","",1800000,"","","","20","","10100000;10","10;293500|13;226800","33","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766007,1,"","","1000","94054;1","","105031007","{}",64,"",0,2,"","","",0,"","",0,0,"","","62500","",8800
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,19222,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.08|75153;0.08|75253;0.08","",0,"1;11500;8;8;8","","1","","{}","","","",2800000,"","","","20","","10100000;10","10;352200|13;340200","36","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766008,1,"","","1000","94054;1","","105031008","{}",64,"",0,2,"","","",0,"","",0,0,"","","71800","",11500
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,28833,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.09|75153;0.09|75253;0.09","",0,"1;14700;9;9;9","","1","","{}","","","",4200000,"","","","20","","10100000;10","10;422700|13;510300","43","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766009,1,"","","1000","94054;1","","105031009","{}",64,"",0,2,"","","",0,"","",0,0,"","","82600","",14700
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,31716,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.1|75153;0.1|75253;0.1","",0,"1;18600;10;10;10","","1","","{}","","","",5400000,"","","","20","","10100000;10","10;507200|13;561300","50","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766010,1,"","","1000","94054;1","","105031010","{}",64,"",0,2,"","","",0,"","",0,0,"","","95000","",18600
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,34888,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.11|75153;0.11|75253;0.11","",0,"1;22800;11;11;11","","1","","{}","","","",7000000,"","","","20","","10100000;10","10;608700|13;617500","52","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766011,1,"","","1000","94054;1","","105031011","{}",64,"",0,2,"","","",0,"","",0,0,"","","104500","",22800
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,38377,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.12|75153;0.12|75253;0.12","",0,"1;27300;12;12;12","","1","","{}","","","",9100000,"","","","20","","10100000;10","10;730400|13;679200","55","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766012,1,"","","1000","94054;1","","105031012","{}",64,"",0,2,"","","",0,"","",0,0,"","","114900","",27300
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,42214,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.13|75153;0.13|75253;0.13","",0,"1;32200;13;13;13","","1","","{}","","","",12000000,"","","","20","","10100000;10","10;876500|13;747100","57","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766013,1,"","","1000","94054;1","","105031013","{}",64,"",0,2,"","","",0,"","",0,0,"","","126400","",32200
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,46436,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.14|75153;0.14|75253;0.14","",0,"1;37600;14;14;14","","1","","{}","","","",15000000,"","","","20","","10100000;10","10;1051800|13;821800","60","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766014,1,"","","1000","94054;1","","105031014","{}",64,"",0,2,"","","",0,"","",0,0,"","","139100","",37600
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,51079,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.15|75153;0.15|75253;0.15","",0,"1;43500;15;15;15","","1","","{}","","","",18000000,"","","","20","","10100000;10","10;1156900|13;904000","63","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766015,1,"","","1000","94054;1","","105031015","{}",64,"",0,2,"","","",0,"","",0,0,"","","153000","",43500
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,56187,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.16|75153;0.16|75253;0.16","",0,"1;49700;16;16;16","","1","","{}","","","",22000000,"","","","20","","10100000;10","10;1272600|13;994400","66","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766016,1,"","","1000","94054;1","","105031016","{}",64,"",0,2,"","","",0,"","",0,0,"","","168300","",49700
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,61806,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.17|75153;0.17|75253;0.17","",0,"1;56300;17;17;17","","1","","{}","","","",27000000,"","","","20","","10100000;10","10;1399900|13;1093900","69","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766017,1,"","","1000","94054;1","","105031017","{}",64,"",0,2,"","","",0,"","",0,0,"","","185100","",56300
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,67986,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.18|75153;0.18|75253;0.18","",0,"1;63200;18;18;18","","1","","{}","","","",32000000,"","","","20","","10100000;10","10;1539900|13;1203300","81","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766018,1,"","","1000","94054;1","","105031018","{}",64,"",0,2,"","","",0,"","",0,0,"","","203600","",63200
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,74785,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.19|75153;0.19|75253;0.19","",0,"1;70500;19;19;19","","1","","{}","","","",38000000,"","","","20","","10100000;10","10;1693900|13;1323600","94","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766019,1,"","","1000","94054;1","","105031019","{}",64,"",0,2,"","","",0,"","",0,0,"","","224000","",70500
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,82263,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.2|75153;0.2|75253;0.2","",0,"1;78300;20;20;20","","1","","{}","","","",42000000,"","","","20","","10100000;10","10;1863300|13;1389800","106","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766020,1,"","","1000","94054;1","","105031020","{}",64,"",0,2,"","","",0,"","",0,0,"","","246400","",78300
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,90489,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.21|75153;0.21|75253;0.21","",0,"1;86400;21;21;21","","1","","{}","","","",46000000,"","","","20","","10100000;10","10;2049600|13;1459300","115","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766021,1,"","","1000","94054;1","","105031021","{}",64,"",0,2,"","","",0,"","",0,0,"","","258700","",86400
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,99538,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.22|75153;0.22|75253;0.22","",0,"1;94900;22;22;22","","1","","{}","","","",51000000,"","","","20","","10100000;10","10;2254600|13;1532200","124","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766022,1,"","","1000","94054;1","","105031022","{}",64,"",0,2,"","","",0,"","",0,0,"","","271600","",94900
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,109492,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.23|75153;0.23|75253;0.23","",0,"1;103800;23;23;23","","1","","{}","","","",56000000,"","","","20","","10100000;10","10;2480000|13;1608800","134","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766023,1,"","","1000","94054;1","","105031023","{}",64,"",0,2,"","","",0,"","",0,0,"","","285200","",103800
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,120441,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.24|75153;0.24|75253;0.24","",0,"1;113100;24;24;24","","1","","{}","","","",62000000,"","","","20","","10100000;10","10;2728000|13;1689300","143","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766024,1,"","","1000","94054;1","","105031024","{}",64,"",0,2,"","","",0,"","",0,0,"","","299500","",113100
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,132485,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.25|75153;0.25|75253;0.25","",0,"1;122900;25;25;25","","1","","{}","","","",65000000,"","","","20","","10100000;10","10;2864400|13;1773700","153","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766025,1,"","","1000","94054;1","","105031025","{}",64,"",0,2,"","","",0,"","",0,0,"","","314400","",122900
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,145734,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.26|75153;0.26|75253;0.26","",0,"1;132900;26;26;26","","1","","{}","","","",68000000,"","","","20","","10100000;10","10;3007600|13;1862400","164","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766026,1,"","","1000","94054;1","","105031026","{}",64,"",0,2,"","","",0,"","",0,0,"","","330100","",132900
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,160307,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.27|75153;0.27|75253;0.27","",0,"1;143200;27;27;27","","1","","{}","","","",72000000,"","","","20","","10100000;10","10;3158000|13;1955500","171","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766027,1,"","","1000","94054;1","","105031027","{}",64,"",0,2,"","","",0,"","",0,0,"","","346700","",143200
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,176338,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.28|75153;0.28|75253;0.28","",0,"1;153800;28;28;28","","1","","{}","","","",75000000,"","","","20","","10100000;10","10;3315900|13;2053300","179","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766028,1,"","","1000","94054;1","","105031028","{}",64,"",0,2,"","","",0,"","",0,0,"","","364000","",153800
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,193971,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.29|75153;0.29|75253;0.29","",0,"1;164800;29;29;29","","1","","{}","","","",79000000,"","","","20","","10100000;10","10;3481700|13;2156000","187","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766029,1,"","","1000","94054;1","","105031029","{}",64,"",0,2,"","","",0,"","",0,0,"","","382200","",164800
"","building_766000",0,"","10;40","",0,"","",0,"","season_building_desc744000","","","season_person_building_name008","","","","5;0","",0,"",1,"season_s2_building_description01","",2,0,"",0,"","",0,"season_building_clear_tips001,1;135172,1;220323,3;220327,3;220331,3","2;2","8","","","","75053;0.3|75153;0.3|75253;0.3","",0,"1;176100;30;30;30","","1","","{}","","","",0,"","","","20","","10100000;10","","207","","","","","","{}","",30,"",7,"",0,0,"","","UI_building_766000","","","1;10100000;10","",766030,1,"","","1000","94054;1","","105031030","{}",64,"",0,2,"","","",0,"","",0,0,"","","401300","",176100
