effect,first_name,last_name,template_id,id,base_supply,trans_goods,quality,base_produce,worker_dialog_idle,working_building,star,isBonus,speed_run_city,trans_resource_item,base_process,isShow,power,base_collect,rate_recruit,desc,speed_city,gender,appearance,garbage_max
"[75054,0.01]","440013","440109","",42008,"","510009;1",4,"","worker_hall_dialog_idle1","[10117000]",0,"",8,"","",0,2500,"",750,"",8,1,21507,8
"[50101,0.16]","worker_type_5","440201","",20505,"","510050;10",2,"","worker_hall_dialog_idle1","[10207000]",0,"",4,"","",1,3200,"",2500,"",4,0,22304,4
"[50101,0.16]","worker_type_5","440205","",20506,"","510050;10",2,"","worker_hall_dialog_idle1","[10207000]",0,"",4,"","",1,3200,"",2500,"",4,0,22305,4
"[50101,0.16]","worker_type_5","440108","",20507,"","510050;10",2,"","worker_hall_dialog_idle1","[10207000]",0,"",4,"","",1,3200,"",2500,"",4,1,21103,4
"[50101,0.16]","worker_type_5","440109","",20508,"","510050;10",2,"","worker_hall_dialog_idle1","[10207000]",0,"",4,"","",1,3200,"",2500,"",4,1,21106,4
"[50102,0.125]","worker_type_2","440203","",50207,"","850207;10",5,"","worker_hall_dialog_idle1","[10203000]",1,"1",10,"","",1,26750,"",250,"",10,0,22101,10
"[50102,0.125]","worker_type_2","440200","",50208,"","850208;10",5,"","worker_hall_dialog_idle1","[10203000]",1,"1",10,"","",1,26750,"",250,"",10,0,22206,10
"[50102,0.125]","worker_type_2","440109","",50209,"","850209;10",5,"","worker_hall_dialog_idle1","[10203000]",1,"1",10,"","",1,26750,"",250,"",10,1,21203,10
"[50102,0.125]","worker_type_2","440108","",50210,"","850210;10",5,"","worker_hall_dialog_idle1","[10203000]",1,"1",10,"","",1,26750,"",250,"",10,1,21204,10
"[50138,0.008]","worker_type_4","440203","",11301,"","510050;5",1,"","worker_hall_dialog_idle1","[10104000]",0,"",2,"","",1,1600,"",5000,"",2,0,22208,2
"[50138,0.008]","worker_type_4","440205","",11302,"","510050;5",1,"","worker_hall_dialog_idle1","[10104000]",0,"",2,"","",1,1600,"",5000,"",2,0,22506,2
"[50138,0.008]","worker_type_4","440109","",11303,"","510050;5",1,"","worker_hall_dialog_idle1","[10104000]",0,"",2,"","",1,1600,"",5000,"",2,1,21507,2
"[50138,0.008]","worker_type_4","440108","",11304,"","510050;5",1,"","worker_hall_dialog_idle1","[10104000]",0,"",2,"","",1,1600,"",5000,"",2,1,21507,2
"[50111,0.036]","440004","440209","",32809,"","510050;20",3,"","worker_hall_dialog_idle1","[10101000]",0,"",6,"","",1,6400,"",1500,"",6,0,22105,6
"[50111,0.036]","440004","440208","",32810,"","510050;20",3,"","worker_hall_dialog_idle1","[10101000]",0,"",6,"","",1,6400,"",1500,"",6,0,22105,6
"[71030,0.032]","440007","440205","",41003,"","510009;1",4,"","worker_hall_dialog_idle1","[10105000,10125000,10135000,10145000]",0,"",8,"","",0,2500,"",750,"",8,0,22506,8
"[71030,0.032]","440007","440202","",41004,"","510009;1",4,"","worker_hall_dialog_idle1","[10105000,10125000,10135000,10145000]",0,"",8,"","",0,2500,"",750,"",8,0,22208,8
"[71030,0.032]","440007","440104","",41005,"","510009;1",4,"","worker_hall_dialog_idle1","[10105000,10125000,10135000,10145000]",0,"",8,"","",0,2500,"",750,"",8,1,21105,8
"[71030,0.032]","440007","440105","",41006,"","510009;1",4,"","worker_hall_dialog_idle1","[10105000,10125000,10135000,10145000]",0,"",8,"","",0,2500,"",750,"",8,1,21402,8
"[75153,0.006]","440013","440208","",31801,"","510008;1",3,"","worker_hall_dialog_idle1","[10116000]",0,"",6,"","",0,1600,"",1500,"",6,0,22103,6
"[75153,0.006]","440013","440201","",31802,"","510008;1",3,"","worker_hall_dialog_idle1","[10116000]",0,"",6,"","",0,1600,"",1500,"",6,0,22103,6
"[75153,0.006]","440013","440109","",31803,"","510008;1",3,"","worker_hall_dialog_idle1","[10116000]",0,"",6,"","",0,1600,"",1500,"",6,1,21507,6
"[75153,0.006]","440013","440103","",31804,"","510008;1",3,"","worker_hall_dialog_idle1","[10116000]",0,"",6,"","",0,1600,"",1500,"",6,1,21105,6
"[50024,0.08]","440001","440208","",10301,"","510050;5",1,"","worker_hall_dialog_idle1","[10202000]",0,"",2,"","",1,1600,"",5000,"",2,0,22204,2
"[50024,0.08]","440001","440202","",10302,"","510050;5",1,"","worker_hall_dialog_idle1","[10202000]",0,"",2,"","",1,1600,"",5000,"",2,0,22204,2
"[50024,0.08]","440001","440101","",10303,"","510050;5",1,"","worker_hall_dialog_idle1","[10202000]",0,"",2,"","",1,1600,"",5000,"",2,1,21103,2
"[50024,0.08]","440001","440107","",10304,"","510050;5",1,"","worker_hall_dialog_idle1","[10202000]",0,"",2,"","",1,1600,"",5000,"",2,1,21103,2
"[75055,0.025]","440013","440101","",52301,"","510010;1",5,"","worker_hall_dialog_idle1","[10118000]",0,"1",10,"","",0,5000,"",250,"",10,1,21506,10
"[75055,0.025]","440013","440109","",52302,"","510010;1",5,"","worker_hall_dialog_idle1","[10118000]",0,"1",10,"","",0,5000,"",250,"",10,1,21507,10
"[50108,0.08]","440018","440109","",22607,"","510050;10",2,"","worker_hall_dialog_idle1","[10123000,10142000,10234000]",0,"",4,"","",1,3200,"",2500,"",4,1,21302,4
"[50108,0.08]","440018","440103","",22608,"","510050;10",2,"","worker_hall_dialog_idle1","[10123000,10142000,10234000]",0,"",4,"","",1,3200,"",2500,"",4,1,21404,4
"[71032,0.012]","440007","440102","",30801,"","510008;1",3,"","worker_hall_dialog_idle1","[10105000,10125000,10135000,10145000]",0,"",6,"","",0,1600,"",1500,"",6,1,21506,6
"[71032,0.012]","440007","440101","",30802,"","510008;1",3,"","worker_hall_dialog_idle1","[10105000,10125000,10135000,10145000]",0,"",6,"","",0,1600,"",1500,"",6,1,21105,6
"[75055,0.025]","440013","440206","",52309,"","510010;1",5,"","worker_hall_dialog_idle1","[10118000]",0,"1",10,"","",0,5000,"",250,"",10,0,22104,10
"[75055,0.025]","440013","440201","",52310,"","510010;1",5,"","worker_hall_dialog_idle1","[10118000]",0,"1",10,"","",0,5000,"",250,"",10,0,22104,10
"[50131,0.008]","440006","440203","",13401,"","510050;5",1,"","worker_hall_dialog_idle1","[10124000]",0,"",2,"","",1,1600,"",5000,"",2,0,22408,2
"[50131,0.008]","440006","440219","",13402,"","510050;5",1,"","worker_hall_dialog_idle1","[10124000]",0,"",2,"","",1,1600,"",5000,"",2,0,22504,2
"[50131,0.008]","440006","440111","",13403,"","510050;5",1,"","worker_hall_dialog_idle1","[10124000]",0,"",2,"","",1,1600,"",5000,"",2,1,21503,2
"[50131,0.008]","440006","440120","",13404,"","510050;5",1,"","worker_hall_dialog_idle1","[10124000]",0,"",2,"","",1,1600,"",5000,"",2,1,21102,2
"[50114,1200]","440016","440202","",43103,"","843103;10",4,"","worker_hall_dialog_idle1","[10119000]",1,"",8,"","",1,10000,"",750,"",8,0,22202,8
"[50114,1200]","440016","440206","",43104,"","843104;10",4,"","worker_hall_dialog_idle1","[10119000]",1,"",8,"","",1,10000,"",750,"",8,0,22203,8
"[50114,1200]","440016","440106","",43105,"","843105;10",4,"","worker_hall_dialog_idle1","[10119000]",1,"",8,"","",1,10000,"",750,"",8,1,21405,8
"[50114,1200]","440016","440108","",43106,"","843106;10",4,"","worker_hall_dialog_idle1","[10119000]",1,"",8,"","",1,10000,"",750,"",8,1,21505,8
"[75252,0.004]","440009","440205","",21605,"","510007;1",2,"","worker_hall_dialog_idle1","[10107000]",0,"",4,"","",0,1200,"",2500,"",4,0,22207,4
"[75252,0.004]","440009","440208","",21606,"","510007;1",2,"","worker_hall_dialog_idle1","[10107000]",0,"",4,"","",0,1200,"",2500,"",4,0,22106,4
"[75252,0.004]","440009","440107","",21607,"","510007;1",2,"","worker_hall_dialog_idle1","[10107000]",0,"",4,"","",0,1200,"",2500,"",4,1,21503,4
"[75252,0.004]","440009","440100","",21608,"","510007;1",2,"","worker_hall_dialog_idle1","[10107000]",0,"",4,"","",0,1200,"",2500,"",4,1,21502,4
"[50138,0.05]","worker_type_4","440201","",51307,"","851307;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,0,22208,10
"[50138,0.05]","worker_type_4","440207","",51308,"","851308;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,0,22107,10
"[50138,0.05]","worker_type_4","440108","",51309,"","851309;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,1,21402,10
"[50138,0.05]","worker_type_4","440105","",51310,"","851310;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,1,21402,10
"[50138,0.05]","worker_type_4","440205","",51311,"","851311;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,0,22403,10
"[50138,0.05]","worker_type_4","440221","",51312,"","851312;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,0,22201,10
"[50138,0.05]","worker_type_4","440119","",51313,"","851313;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,1,21501,10
"[50138,0.05]","worker_type_4","440110","",51314,"","851314;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,1,21306,10
"[50138,0.05]","worker_type_4","440220","",51315,"","851315;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,0,22403,10
"[50138,0.05]","worker_type_4","440219","",51316,"","851316;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,0,22201,10
"[50138,0.05]","worker_type_4","440118","",51317,"","851317;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,1,21501,10
"[50138,0.05]","worker_type_4","440114","",51318,"","851318;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,1,21306,10
"[50138,0.05]","worker_type_4","440206","",51319,"","851319;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,1,22208,10
"[50138,0.05]","worker_type_4","440204","",51320,"","851320;10",5,"","worker_hall_dialog_idle1","[10104000]",1,"1",10,"","",1,20750,"",250,"",10,1,22107,10
"[75154,0.01]","440013","440203","",42105,"","510009;1",4,"","worker_hall_dialog_idle1","[10117000]",0,"",8,"","",0,2500,"",750,"",8,0,22103,8
"[75154,0.01]","440013","440207","",42106,"","510009;1",4,"","worker_hall_dialog_idle1","[10117000]",0,"",8,"","",0,2500,"",750,"",8,0,22104,8
"[75154,0.01]","440013","440102","",42107,"","510009;1",4,"","worker_hall_dialog_idle1","[10117000]",0,"",8,"","",0,2500,"",750,"",8,1,21506,8
"[75154,0.01]","440013","440108","",42108,"","510009;1",4,"","worker_hall_dialog_idle1","[10117000]",0,"",8,"","",0,2500,"",750,"",8,1,21105,8
"[50104,0.02]","worker_type_1","440206","",20605,"","510050;10",2,"","worker_hall_dialog_idle1","[10208000]",0,"",4,"","",1,3200,"",2500,"",4,0,22507,4
"[50104,0.02]","worker_type_1","440209","",20606,"","510050;10",2,"","worker_hall_dialog_idle1","[10208000]",0,"",4,"","",1,3200,"",2500,"",4,0,22301,4
"[50104,0.02]","worker_type_1","440107","",20607,"","510050;10",2,"","worker_hall_dialog_idle1","[10208000]",0,"",4,"","",1,3200,"",2500,"",4,1,21502,4
"[50104,0.02]","worker_type_1","440103","",20608,"","510050;10",2,"","worker_hall_dialog_idle1","[10208000]",0,"",4,"","",1,3200,"",2500,"",4,1,21403,4
"[50024,0.5]","440001","440208","",50307,"","850307;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,0,22304,10
"[50024,0.5]","440001","worker_name_001","",50308,"","850308;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,0,22305,10
"[50024,0.5]","440001","440106","",50309,"","850309;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,1,21106,10
"[50024,0.5]","440001","440102","",50310,"","850310;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,1,21106,10
"[50024,0.5]","440001","440206","",50311,"","850311;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,0,22304,10
"[50024,0.5]","440001","440217","",50312,"","850312;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,0,22303,10
"[50024,0.5]","440001","440109","",50313,"","850313;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,1,21106,10
"[50024,0.5]","440001","440108","",50314,"","850314;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,1,21307,10
"[50024,0.5]","440001","440205","",50315,"","850315;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,0,22304,10
"[50024,0.5]","440001","440215","",50316,"","850316;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,0,22204,10
"[50024,0.5]","440001","440101","",50317,"","850317;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,1,21106,10
"[50024,0.5]","440001","440110","",50318,"","850318;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,1,21307,10
"[50105,0.032]","440005","440200","",41103,"","841103;10",4,"","worker_hall_dialog_idle1","[10103000]",1,"",8,"","",1,10000,"",750,"",8,0,22208,8
"[50105,0.032]","440005","440208","",41104,"","841104;10",4,"","worker_hall_dialog_idle1","[10103000]",1,"",8,"","",1,10000,"",750,"",8,0,22103,8
"[50105,0.032]","440005","440103","",41105,"","841105;10",4,"","worker_hall_dialog_idle1","[10103000]",1,"",8,"","",1,10000,"",750,"",8,1,21402,8
"[50105,0.032]","440005","440104","",41106,"","841106;10",4,"","worker_hall_dialog_idle1","[10103000]",1,"",8,"","",1,10000,"",750,"",8,1,21402,8
"[50024,0.5]","440001","440200","",50323,"","850323;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,0,22204,10
"[50024,0.5]","440001","440218","",50324,"","850324;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,0,22102,10
"[50024,0.5]","440001","440105","",50325,"","850325;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,1,21307,10
"[50024,0.5]","440001","440117","",50326,"","850326;10",5,"","worker_hall_dialog_idle1","[10202000]",1,"1",10,"","",1,20750,"",250,"",10,1,21103,10
"[75253,0.006]","440013","440206","",31901,"","510008;1",3,"","worker_hall_dialog_idle1","[10116000]",0,"",6,"","",0,1600,"",1500,"",6,0,22506,6
"[75253,0.006]","440013","440200","",31902,"","510008;1",3,"","worker_hall_dialog_idle1","[10116000]",0,"",6,"","",0,1600,"",1500,"",6,0,22506,6
"[75253,0.006]","440013","440107","",31903,"","510008;1",3,"","worker_hall_dialog_idle1","[10116000]",0,"",6,"","",0,1600,"",1500,"",6,1,21402,6
"[75253,0.006]","440013","440103","",31904,"","510008;1",3,"","worker_hall_dialog_idle1","[10116000]",0,"",6,"","",0,1600,"",1500,"",6,1,21507,6
"[50103,0.01]","worker_type_3","440202","",10401,"","510050;5",1,"","worker_hall_dialog_idle1","[10206000]",0,"",2,"","",1,1600,"",5000,"",2,0,22404,2
"[50103,0.01]","worker_type_3","440209","",10402,"","510050;5",1,"","worker_hall_dialog_idle1","[10206000]",0,"",2,"","",1,1600,"",5000,"",2,0,22206,2
"[50103,0.01]","worker_type_3","440103","",10403,"","510050;5",1,"","worker_hall_dialog_idle1","[10206000]",0,"",2,"","",1,1600,"",5000,"",2,1,21204,2
"[50103,0.01]","worker_type_3","440109","",10404,"","510050;5",1,"","worker_hall_dialog_idle1","[10206000]",0,"",2,"","",1,1600,"",5000,"",2,1,21205,2
"[50131,0.1]","440006","440112","",53413,"","853413;10",5,"","worker_hall_dialog_idle1","[10124000]",1,"1",10,"","",1,20750,"",250,"",10,1,21404,10
"[50131,0.1]","440006","440102","",53414,"","853414;10",5,"","worker_hall_dialog_idle1","[10124000]",1,"1",10,"","",1,20750,"",250,"",10,1,21102,10
"[50023,0.32]","440000","440200","",40103,"","840103;10",4,"","worker_hall_dialog_idle1","[10201000]",1,"",8,"","",1,10000,"",750,"",8,0,22404,8
"[50023,0.32]","440000","440207","",40104,"","840104;10",4,"","worker_hall_dialog_idle1","[10201000]",1,"",8,"","",1,10000,"",750,"",8,0,22101,8
"[50023,0.32]","440000","440106","",40105,"","840105;10",4,"","worker_hall_dialog_idle1","[10201000]",1,"",8,"","",1,10000,"",750,"",8,1,21203,8
"[50023,0.32]","440000","440101","",40106,"","840106;10",4,"","worker_hall_dialog_idle1","[10201000]",1,"",8,"","",1,10000,"",750,"",8,1,21204,8
"[50131,0.1]","440006","440215","",53419,"","853419;10",5,"","worker_hall_dialog_idle1","[10124000]",1,"1",10,"","",1,20750,"",250,"",10,1,22106,10
"[50131,0.1]","440006","440220","",53420,"","853420;10",5,"","worker_hall_dialog_idle1","[10124000]",1,"1",10,"","",1,20750,"",250,"",10,1,22504,10
"[50131,0.1]","440006","440203","",53421,"","853421;10",5,"","worker_hall_dialog_idle1","[10124000]",1,"1",10,"","",1,20750,"",250,"",10,1,22405,10
"[50131,0.1]","440006","440204","",53422,"","853422;10",5,"","worker_hall_dialog_idle1","[10124000]",1,"1",10,"","",1,20750,"",250,"",10,1,22504,10
"[75155,0.025]","440013","440104","",52401,"","510010;1",5,"","worker_hall_dialog_idle1","[10118000]",0,"1",10,"","",0,5000,"",250,"",10,1,21506,10
"[75155,0.025]","440013","440107","",52402,"","510010;1",5,"","worker_hall_dialog_idle1","[10118000]",0,"1",10,"","",0,5000,"",250,"",10,1,21402,10
"[71002,0.012]","440007","440108","",30901,"","510008;1",3,"","worker_hall_dialog_idle1","[10105000,10125000,10135000,10145000]",0,"",6,"","",0,1600,"",1500,"",6,1,21507,6
"[71002,0.012]","440007","440101","",30902,"","510008;1",3,"","worker_hall_dialog_idle1","[10105000,10125000,10135000,10145000]",0,"",6,"","",0,1600,"",1500,"",6,1,21105,6
"[75155,0.025]","440013","440209","",52409,"","510010;1",5,"","worker_hall_dialog_idle1","[10118000]",0,"1",10,"","",0,5000,"",250,"",10,0,22208,10
"[75155,0.025]","440013","440208","",52410,"","510010;1",5,"","worker_hall_dialog_idle1","[10118000]",0,"1",10,"","",0,5000,"",250,"",10,0,22506,10
"[50129,0.001]","440004","440108","",13501,"","510006;1",1,"","worker_hall_dialog_idle1","[10119000]",0,"",2,"","",0,800,"",5000,"",2,1,21405,2
"[71002,0.012]","440007","440201","",30910,"","510008;1",3,"","worker_hall_dialog_idle1","[10105000,10125000,10135000,10145000]",0,"",6,"","",0,1600,"",1500,"",6,0,22104,6
"[50115,7200]","440010","440209","",43203,"","843203;10",4,"","worker_hall_dialog_idle1","[10115000]",1,"",8,"","",1,10000,"",750,"",8,0,22207,8
"[50115,7200]","440010","440206","",43204,"","843204;10",4,"","worker_hall_dialog_idle1","[10115000]",1,"",8,"","",1,10000,"",750,"",8,0,22306,8
"[50115,7200]","440010","440102","",43205,"","843205;10",4,"","worker_hall_dialog_idle1","[10115000]",1,"",8,"","",1,10000,"",750,"",8,1,21404,8
"[50115,7200]","440010","440101","",43206,"","843206;10",4,"","worker_hall_dialog_idle1","[10115000]",1,"",8,"","",1,10000,"",750,"",8,1,21104,8
"[75052,0.025]","440009","440201","",51407,"","510010;1",5,"","worker_hall_dialog_idle1","[10107000]",0,"1",10,"","",0,5000,"",250,"",10,0,22403,10
"[75052,0.025]","440009","440204","",51408,"","510010;1",5,"","worker_hall_dialog_idle1","[10107000]",0,"1",10,"","",0,5000,"",250,"",10,0,22201,10
"[75052,0.025]","440009","440107","",51409,"","510010;1",5,"","worker_hall_dialog_idle1","[10107000]",0,"1",10,"","",0,5000,"",250,"",10,1,21501,10
"[75052,0.025]","440009","440105","",51410,"","510010;1",5,"","worker_hall_dialog_idle1","[10107000]",0,"1",10,"","",0,5000,"",250,"",10,1,21306,10
"[75254,0.01]","440013","440201","",42205,"","510009;1",4,"","worker_hall_dialog_idle1","[10117000]",0,"",8,"","",0,2500,"",750,"",8,0,22208,8
"[75254,0.01]","440013","440207","",42206,"","510009;1",4,"","worker_hall_dialog_idle1","[10117000]",0,"",8,"","",0,2500,"",750,"",8,0,22104,8
"[75254,0.01]","440013","440107","",42207,"","510009;1",4,"","worker_hall_dialog_idle1","[10117000]",0,"",8,"","",0,2500,"",750,"",8,1,21402,8
"[75254,0.01]","440013","440100","",42208,"","510009;1",4,"","worker_hall_dialog_idle1","[10117000]",0,"",8,"","",0,2500,"",750,"",8,1,21402,8
"[50103,0.125]","worker_type_3","440202","",50407,"","850407;10",5,"","worker_hall_dialog_idle1","[10206000]",1,"1",10,"","",1,26750,"",250,"",10,0,22205,10
"[50103,0.125]","worker_type_3","440209","",50408,"","850408;10",5,"","worker_hall_dialog_idle1","[10206000]",1,"1",10,"","",1,26750,"",250,"",10,0,22307,10
"[50113,10800]","440017","440108","",33001,"","510050;20",3,"","worker_hall_dialog_idle1","[10120000]",0,"",6,"","",1,6400,"",1500,"",6,1,21305,6
"[50113,10800]","440017","440101","",33002,"","510050;20",3,"","worker_hall_dialog_idle1","[10120000]",0,"",6,"","",1,6400,"",1500,"",6,1,21403,6
"[75152,0.002]","440009","440206","",11501,"","510006;1",1,"","worker_hall_dialog_idle1","[10107000]",0,"",2,"","",0,800,"",5000,"",2,0,22502,2
"[75152,0.002]","440009","440203","",11502,"","510006;1",1,"","worker_hall_dialog_idle1","[10107000]",0,"",2,"","",0,800,"",5000,"",2,0,22306,2
"[75152,0.002]","440009","440108","",11503,"","510006;1",1,"","worker_hall_dialog_idle1","[10107000]",0,"",2,"","",0,800,"",5000,"",2,1,21503,2
"[75152,0.002]","440009","440100","",11504,"","510006;1",1,"","worker_hall_dialog_idle1","[10107000]",0,"",2,"","",0,800,"",5000,"",2,1,21302,2
"[50113,10800]","440017","440209","",33009,"","510050;20",3,"","worker_hall_dialog_idle1","[10120000]",0,"",6,"","",1,6400,"",1500,"",6,0,22106,6
"[50113,10800]","440017","440206","",33010,"","510050;20",3,"","worker_hall_dialog_idle1","[10120000]",0,"",6,"","",1,6400,"",1500,"",6,0,22405,6
"[50106,0.016]","440005","440204","",41203,"","510009;1",4,"","worker_hall_dialog_idle1","[10103000]",0,"",8,"","",0,2500,"",750,"",8,0,22208,8
"[50106,0.016]","440005","440206","",41204,"","510009;1",4,"","worker_hall_dialog_idle1","[10103000]",0,"",8,"","",0,2500,"",750,"",8,0,22208,8
"[50106,0.016]","440005","440107","",41205,"","510009;1",4,"","worker_hall_dialog_idle1","[10103000]",0,"",8,"","",0,2500,"",750,"",8,1,21507,8
"[50106,0.016]","440005","440109","",41206,"","510009;1",4,"","worker_hall_dialog_idle1","[10103000]",0,"",8,"","",0,2500,"",750,"",8,1,21506,8
"[75054,0.006]","440013","440202","",32001,"","510008;1",3,"","worker_hall_dialog_idle1","[10117000]",0,"",6,"","",0,1600,"",1500,"",6,0,22103,6
"[75054,0.006]","440013","440208","",32002,"","510008;1",3,"","worker_hall_dialog_idle1","[10117000]",0,"",6,"","",0,1600,"",1500,"",6,0,22506,6
"[75054,0.006]","440013","440101","",32003,"","510008;1",3,"","worker_hall_dialog_idle1","[10117000]",0,"",6,"","",0,1600,"",1500,"",6,1,21105,6
"[75054,0.006]","440013","440102","",32004,"","510008;1",3,"","worker_hall_dialog_idle1","[10117000]",0,"",6,"","",0,1600,"",1500,"",6,1,21105,6
"[50101,0.08]","worker_type_5","440206","",10501,"","510050;5",1,"","worker_hall_dialog_idle1","[10207000]",0,"",2,"","",1,1600,"",5000,"",2,0,22303,2
