firelogic,damage_delay,is_normal_attack,enhance_fragment,pos_condition,is_focus,pve_buff_bullet,pvp_pos_num,property_out_of_battle,animation,buff_evaluate_score,pvp_troop_condition,triggerType,name,level_up_desc,pvp_damage_type,icon,property_target_type,maxStar,skill_cat,star,enhance_desc_pre,actionType,power,group,levelup_consume_sp,pvp_damage,pvp_buff_param,level_up_desc_param,animation_move,priority,property,horizontal_speed,buff_condition,pvp_buff_bullet,property_pos_condition,bullet,attack_range,maxLevel,debuff_evaluate_score,pvp_triggerParam,pvp_buff_condition,pvp_bullet,pvp_bullet_critical,pvp_cast_interval,display_type,pvp_cast_count,bullet_damage_rate,apType,desc_para,target_type,damage_ratio,pvp_other_condition_para,moving_logic,enhance_resource,pvp_other_condition,desc,pvp_pos_condition,pvp_actionParam,buff_param,property_troop_condition,pvp_actionType,pvp_triggerType,pre_cd,pvp_apType,skin_skill_effect,skill_effect,id,bullet_critical,troop_condition,matching_animation,matching_animation_move,displayCast_type,pve_animation_move,effect_incity,firepoint,need_rank,damage_to_monster,cast_interval,cast_count,other_condition_para,property_pos_num,world_bullet,other_condition,property_other_condition,attack_interval,pvp_buff_ID,actionParam,pve_animation,pos_num,pvp_buff_level,triggerParam,buff
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",11,"{}","","","{}","attack_move","1","",20,"","","","11","10",1,"0","","","","","","","","[""0;0"",""1;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","11",11,"","","attack","attack_move","","attack_move","","{}","","","","","","","","1","","2000","","","attack","","","",""
0,"","0","15","","","","","","attack","0","0",3,"2401420","","","Assets/Main/Sprites/SkillIcons/skill_icon23.png","3",5,0,0,"[""1500622"",""1500622"",""1500622"",""1500622"",""1500622""]",3,"[3600,1920]",401420,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","","","{}","attack_move","1","75952;0.09;0.002",20,"","","1","","20",1,"0","","","","","","","","{}",1,"","3",1,"","{}","","0","1500920","1","","","0","3","2","0","1","{}","1",401420,"","0","attack","attack_move","","attack_move","","{}","1","","","","","","","1","0","90000","","","attack","","","",""
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",13,"{}","","","{}","attack_move","1","",20,"","","","13","10",1,"0","","","","","","","","[""1;0"",""0;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","13",13,"","","attack","attack_move","","attack_move","","{}","","","","","","","","1","","3000","","","attack","","","",""
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",14,"{}","","","{}","attack_move","2","",20,"","","","14","15",1,"0","","","","","","","","[""0;0"",""1;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","14",14,"","","attack","attack_move","","attack_move","","{}","","","","","","","","3","","3000","","","attack","","","",""
0,"","0","45","","","","","","attack","0","0",3,"2401420","","","Assets/Main/Sprites/SkillIcons/skill_icon23.png","3",5,0,3,"[""1500622"",""1500622"",""1500622"",""1500622"",""1500622""]",3,"[19200,1920]",401420,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","","","{}","attack_move","1","75952;0.18;0.002",20,"","","1","","20",10,"0","","","","","","","","{}",1,"","3",1,"","{}","","0","1500920","1","","","0","3","2","0","1","{}","1",401423,"","0","attack","attack_move","","attack_move","","{}","16","","","","","","","1","0","90000","","","attack","","","",""
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",16,"{}","","","{}","attack_move","2","",20,"","","","16","10",1,"0","","","","","","","","[""1;0"",""0;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","14",16,"","","attack","attack_move","","attack_move","","{}","","","","","","","","4","","3000","","","attack","","","",""
0,"","0","90","","","","","","attack","0","0",3,"2401420","","","Assets/Main/Sprites/SkillIcons/skill_icon23.png","3",5,0,5,"[""1500622"",""1500622"",""1500622"",""1500622"",""1500622""]",3,"[38400,1920]",401420,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","","","{}","attack_move","1","75952;0.24;0.002",20,"","","1","","20",30,"0","","","","","","","","{}",1,"","3",1,"","{}","","0","1500920","1","","","0","3","2","0","1","{}","1",401425,"","0","attack","attack_move","","attack_move","","{}","26","","","","","","","1","0","90000","","","attack","","","",""
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",18,"{}","","","{}","attack_move","2","",20,"","","","18","15",1,"0","","","","","","","","[""0;0"",""1;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","18",18,"","","attack","attack_move","","attack_move","","{}","","","","","","","","3","","3000","","","attack","","","",""
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",20,"{}","","","{}","attack_move","2","",20,"","","","20","10",1,"0","","","","","","","","[""1;0"",""0;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","20",20,"","","attack","attack_move","","attack_move","","{}","","","","","","","","1","","1500","","","attack","","","",""
0,"","0","20","0","1","","","","","0","3",2,"hero_equip_skill_name_501780","","","Assets/Main/Sprites/SkillIcons/FX_icon_zhuanwucommon02.png","4",0,0,1,"{}",3,"[0]",501780,"[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","","","{}","","1","75050;0.075;0|75150;0.075;0|75250;0.075;0",20,"","","0","","",1,"0","","","","","","","","{}",1,"1,0.075,0","4",1,"","{}","","0","hero_equip_skill_desc_501780","0","","","3","3","2","0","1","{}","1",501781,"","3","","","","","","{}","1","","","","","","","0","0","90000","","","","","","",""
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",22,"{}","","","{}","attack_move","2","",20,"","","","22","15",1,"0","","","","","","","","[""0;0"",""1;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","22",22,"","","attack","attack_move","","attack_move","","{}","","","","","","","","3","","2000","","","attack","","","",""
0,"","0","","","1","","","75050;0.2;0|75150;0.2;0|75250;0.2;0|75750;0.1;0","attack","0","",2,"220384","","","Assets/Main/Sprites/SkillIcons/skill_icon28.png","3",0,0,1,"{}",3,"[12000]",401430,"{}","","","{}","attack_move","","",20,"","","1","","",1,"0","","","","","","","","{}",1,"","",1,"","{}","","","220385","","","","0","3","2","","1","{}","",401431,"","","attack","attack_move","","attack_move","","{}","1","","","","","","","","0","","","","attack","","","",""
0,"","0","","","1","","","75050;0.2;0|75150;0.2;0|75250;0.2;0|75750;0.1;0","attack","0","",2,"220384","","","Assets/Main/Sprites/SkillIcons/skill_icon28.png","3",0,0,2,"{}",3,"[12000]",401430,"{}","","","{}","attack_move","","",20,"","","1","","",1,"0","","","","","","","","{}",1,"","",1,"","{}","","","220385","","","","0","3","2","","1","{}","",401432,"","","attack","attack_move","","attack_move","","{}","1","","","","","","","","0","","","","attack","","","",""
0,"","0","","","1","","","75050;0.2;0|75150;0.2;0|75250;0.2;0|75750;0.1;0","attack","0","",2,"220384","","","Assets/Main/Sprites/SkillIcons/skill_icon28.png","3",0,0,3,"{}",3,"[12000]",401430,"{}","","","{}","attack_move","","",20,"","","1","","",1,"0","","","","","","","","{}",1,"","",1,"","{}","","","220385","","","","0","3","2","","1","{}","",401433,"","","attack","attack_move","","attack_move","","{}","1","","","","","","","","0","","","","attack","","","",""
0,"","0","","","1","","","75050;0.2;0|75150;0.2;0|75250;0.2;0|75750;0.1;0","attack","0","",2,"220384","","","Assets/Main/Sprites/SkillIcons/skill_icon28.png","3",0,0,4,"{}",3,"[12000]",401430,"{}","","","{}","attack_move","","",20,"","","1","","",1,"0","","","","","","","","{}",1,"","",1,"","{}","","","220385","","","","0","3","2","","1","{}","",401434,"","","attack","attack_move","","attack_move","","{}","1","","","","","","","","0","","","","attack","","","",""
0,"","0","","","1","","","75050;0.2;0|75150;0.2;0|75250;0.2;0|75750;0.1;0","attack","0","",2,"220384","","","Assets/Main/Sprites/SkillIcons/skill_icon28.png","3",0,0,5,"{}",3,"[12000]",401430,"{}","","","{}","attack_move","","",20,"","","1","","",1,"0","","","","","","","","{}",1,"","",1,"","{}","","","220385","","","","0","3","2","","1","{}","",401435,"","","attack","attack_move","","attack_move","","{}","1","","","","","","","","0","","","","attack","","","",""
0,"","0","","","","","","","attack","0","0",6,"2501200","","0","","0",0,0,0,"{}",1,"[800,100]",501799,"{}","","","{}","attack","1","",20,"","","","501722","25",1,"0","","","","","","1","1","[""1.597;0.062"",""0;0""]",1,"","0",1,"","{}","","0","1401000","","","","0","1","","0","0","{}","1020",501799,"","","attack","attack_move","","attack","","{}","","","","","","","","1","0","0","","","attack","","","501710",""
0,"","1","20","","","","","","attack","0","0",0,"2501800","","1","Assets/Main/Sprites/SkillIcons/skill_icon9.png","0",5,0,0,"{}",1,"[3600,1920]",501800,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","0.416;0.014","","{}","attack_move","1","",20,"","","3","501800","40",1,"0","","","501816","","","2","1","[""0;0"",""0.416;0.014""]",0,"","0",1,"","{}","","0","1501800","3","","","0","1","","1000","0","{}","1050",501800,"","","attack","attack_move","","attack_move","","{}","1","","","","","","","1","0","1000","","","attack","","","",""
0,"","1","30","","","","","","attack","0","0",0,"2501800","skill_levelup_effect1","1","Assets/Main/Sprites/SkillIcons/skill_icon9.png","0",5,0,1,"{}",1,"[7200,1920]",501800,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","0.416;0.014","","[""30%""]","attack_move","1","",20,"","","3","501801","40",1,"0","","","501816","","","2","1","[""0;0"",""0.416;0.014""]",0,"","0",1.3,"","{}","","0","1501800","3","","","0","1","","1000","0","{}","1050",501801,"","","attack","attack_move","","attack_move","","{}","6","","","","","","","1","0","1000","","","attack","","","",""
0,"","1","40","","","","","","attack","0","0",0,"2501800","skill_levelup_effect2","1","Assets/Main/Sprites/SkillIcons/skill_icon9.png","0",5,0,2,"{}",1,"[12000,1920]",501800,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","0.416;0.014","","[""70%""]","attack_move","1","",20,"","","3","501802","40",5,"0","","","501816","","","2","1","[""0;0"",""0.416;0.014""]",0,"","0",1.7,"","{}","","0","1501800","3","","","0","1","","1000","0","{}","1050",501802,"","","attack","attack_move","","attack_move","","{}","11","","","","","","","1","0","1000","","","attack","","","",""
0,"","1","60","","","","","","attack","0","0",0,"2501800","skill_levelup_effect2","1","Assets/Main/Sprites/SkillIcons/skill_icon9.png","0",5,0,3,"{}",1,"[19200,1920]",501800,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","0.416;0.014","","[""120%""]","attack_move","1","",20,"","","3","501803","40",10,"0","","","501816","","","2","1","[""0;0"",""0.416;0.014""]",0,"","0",2.2,"","{}","","0","1501800","3","","","0","1","","1000","0","{}","1050",501803,"","","attack","attack_move","","attack_move","","{}","16","","","","","","","1","0","1000","","","attack","","","",""
0,"","1","80","","","","","","attack","0","0",0,"2501800","skill_levelup_effect2","1","Assets/Main/Sprites/SkillIcons/skill_icon9.png","0",5,0,4,"{}",1,"[28800,1920]",501800,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","0.416;0.014","","[""185%""]","attack_move","1","",20,"","","3","501804","40",20,"0","","","501816","","","2","1","[""0;0"",""0.416;0.014""]",0,"","0",2.85,"","{}","","0","1501800","3","","","0","1","","1000","0","{}","1050",501804,"","","attack","attack_move","","attack_move","","{}","21","","","","","","","1","0","1000","","","attack","","","",""
0,"","1","120","","","","","","attack","0","0",0,"2501800","skill_levelup_effect2","1","Assets/Main/Sprites/SkillIcons/skill_icon9.png","0",5,0,5,"{}",1,"[38400,1920]",501800,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","0.416;0.014","","[""270%""]","attack_move","1","",20,"","","3","501805","40",30,"0","","","501816","","","2","1","[""0;0"",""0.416;0.014""]",0,"","0",3.7,"","{}","","0","1501800","3","","","0","1","","1000","0","{}","1050",501805,"","","attack","attack_move","","attack_move","","{}","26","","","","","","","1","0","1000","","","attack","","","",""
0,"","0","20","","","","1","","attack","0","0",0,"2501810","","1","Assets/Main/Sprites/SkillIcons/skill_icon9.png","0",5,0,0,"[""1000082"",""1501811"",""1000083"",""1501811"",""1000084""]",1,"[3600,1920]",501810,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","3.376;0.071","20","{}","attack_move","3","",20,"2","","10","501810","40",1,"43092","","6","501817","","","2","1","[""0;0"",""3.376;0.071""]",0,"","0",1,"","{}","","0","1501810","10","","20","0","1","","10000","0","{}","1050",501810,"","","attack","attack_move","","attack_move","","{}","1","","","","","1","","1","0","10000","501810","","attack","","","","501810"
0,"","0","30","","","","1","","attack","0","0",0,"2501810","","1","Assets/Main/Sprites/SkillIcons/skill_icon9.png","0",5,0,1,"[""1000082"",""1501811"",""1000083"",""1501811"",""1000084""]",1,"[7200,1920]",501810,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","3.376;0.071","20","{}","attack_move","3","",20,"2","","10","501811","40",1,"43092","","6","501817","","","2","1","[""0;0"",""3.376;0.071""]",0,"","0",1.3,"","{}","","0","1501810","10","","20","0","1","","10000","0","{}","1050",501811,"","","attack","attack_move","","attack_move","","{}","6","","","","","1","","1","0","10000","501811","","attack","","","","501811"
0,"","0","40","","","","2","","attack","0","0",0,"2501810","","1","Assets/Main/Sprites/SkillIcons/skill_icon9.png","0",5,0,2,"[""1000082"",""1501811"",""1000083"",""1501811"",""1000084""]",1,"[12000,1920]",501810,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","2.287;0.071","20","{}","attack_move","3","",20,"2","","10","501812","40",5,"56020","","6","501817","","","2","1","[""0;0"",""2.287;0.071""]",0,"","0",1.3,"","{}","","0","1501810","10","","20","0","1","","10000","0","{}","1050",501812,"","","attack","attack_move","","attack_move","","{}","11","","","","","2","","1","0","10000","501812","","attack","","","","501812"
0,"","0","60","","","","2","","attack","0","0",0,"2501810","","1","Assets/Main/Sprites/SkillIcons/skill_icon9.png","0",5,0,3,"[""1000082"",""1501811"",""1000083"",""1501811"",""1000084""]",1,"[19200,1920]",501810,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","2.287;0.071","20","{}","attack_move","3","",20,"2","","10","501813","40",10,"56020","","6","501817","","","2","1","[""0;0"",""2.287;0.071""]",0,"","0",1.7,"","{}","","0","1501810","10","","20","0","1","","10000","0","{}","1050",501813,"","","attack","attack_move","","attack_move","","{}","16","","","","","2","","1","0","10000","501813","","attack","","","","501813"
0,"","0","80","","","","3","","attack","0","0",0,"2501810","","1","Assets/Main/Sprites/SkillIcons/skill_icon9.png","0",5,0,4,"[""1000082"",""1501811"",""1000083"",""1501811"",""1000084""]",1,"[28800,1920]",501810,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","2.086;0.071","20","{}","attack_move","3","",20,"2","","10","501814","40",20,"72826","","6","501817","","","2","1","[""0;0"",""2.086;0.071""]",0,"","0",1.7,"","{}","","0","1501810","10","","20","0","1","","10000","0","{}","1050",501814,"","","attack","attack_move","","attack_move","","{}","21","","","","","3","","1","0","10000","501814","","attack","","","","501814"
0,"","0","120","","","","3","","attack","0","0",0,"2501810","","1","Assets/Main/Sprites/SkillIcons/skill_icon9.png","0",5,0,5,"[""1000082"",""1501811"",""1000083"",""1501811"",""1000084""]",1,"[38400,1920]",501810,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","2.086;0.071","20","{}","attack_move","3","",20,"2","","10","501815","40",30,"72826","","6","501817","","","2","1","[""0;0"",""2.086;0.071""]",0,"","0",2.2,"","{}","","0","1501810","10","","20","0","1","","10000","0","{}","1050",501815,"","","attack","attack_move","","attack_move","","{}","26","","","","","3","","1","0","10000","501815","","attack","","","","501815"
0,"","0","20","","","","","","attack","0","0",3,"2501820","","","Assets/Main/Sprites/SkillIcons/skill_icon24.png","3",5,0,0,"[""1500623"",""1500623"",""1500623"",""1500623"",""1500623""]",3,"[3600,1920]",501820,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","","","{}","attack_move","1","75150;0.11;0.003",20,"","","1","","40",1,"0","","","","","","","","{}",1,"","3",1,"","{}","","0","1501120","1","","","0","3","2","0","1","{}","1",501820,"","0","attack","attack_move","","attack_move","","{}","1","","","","","","","1","0","90000","","","attack","","","",""
0,"","0","30","","","","","","attack","0","0",3,"2501820","","","Assets/Main/Sprites/SkillIcons/skill_icon24.png","3",5,0,1,"[""1500623"",""1500623"",""1500623"",""1500623"",""1500623""]",3,"[7200,1920]",501820,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","","","{}","attack_move","1","75150;0.15;0.003",20,"","","1","","40",1,"0","","","","","","","","{}",1,"","3",1,"","{}","","0","1501120","1","","","0","3","2","0","1","{}","1",501821,"","0","attack","attack_move","","attack_move","","{}","6","","","","","","","1","0","90000","","","attack","","","",""
0,"","0","40","","","","","","attack","0","0",3,"2501820","","","Assets/Main/Sprites/SkillIcons/skill_icon24.png","3",5,0,2,"[""1500623"",""1500623"",""1500623"",""1500623"",""1500623""]",3,"[12000,1920]",501820,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","","","{}","attack_move","1","75150;0.19;0.003",20,"","","1","","40",5,"0","","","","","","","","{}",1,"","3",1,"","{}","","0","1501120","1","","","0","3","2","0","1","{}","1",501822,"","0","attack","attack_move","","attack_move","","{}","11","","","","","","","1","0","90000","","","attack","","","",""
0,"","0","60","","","","","","attack","0","0",3,"2501820","","","Assets/Main/Sprites/SkillIcons/skill_icon24.png","3",5,0,3,"[""1500623"",""1500623"",""1500623"",""1500623"",""1500623""]",3,"[19200,1920]",501820,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","","","{}","attack_move","1","75150;0.23;0.003",20,"","","1","","40",10,"0","","","","","","","","{}",1,"","3",1,"","{}","","0","1501120","1","","","0","3","2","0","1","{}","1",501823,"","0","attack","attack_move","","attack_move","","{}","16","","","","","","","1","0","90000","","","attack","","","",""
0,"","0","80","","","","","","attack","0","0",3,"2501820","","","Assets/Main/Sprites/SkillIcons/skill_icon24.png","3",5,0,4,"[""1500623"",""1500623"",""1500623"",""1500623"",""1500623""]",3,"[28800,1920]",501820,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","","","{}","attack_move","1","75150;0.27;0.003",20,"","","1","","40",20,"0","","","","","","","","{}",1,"","3",1,"","{}","","0","1501120","1","","","0","3","2","0","1","{}","1",501824,"","0","attack","attack_move","","attack_move","","{}","21","","","","","","","1","0","90000","","","attack","","","",""
