effect,priority,shield_time,effect_point_type,icon_pro,object,para1,damage,skill_effect_type,rate,skill_anim,effect_num_des,scale,name,attached_skill,des,icon,id,health_enable,effect_des,level,group,trigger,shield,cost,effect_num,type2,power,cure,anger,status,effect_path,type,type_des,object_num
"31007|31007|31007|31007|31007|31007|31007","10|13|16|19|22|25|30","","","",0,"","","","","","31007","0","160210","","160029","skill_icon_1001",104503,"","10%|13%|16%|19%|22%|25%|30%","5","24","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",1,"150164","1"
"35001|35001|35001|35001|35001|35001|35001","","","","",0,"","","","","","35001","0","160156","","160219","skill_icon_1002",103501,"","3|4|5|6|7|8|10","5","","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35001|35001|35001|35001|35001|35001|35001","","","","",0,"","","","","","35001","0","160156","","160219","skill_icon_1002",103502,"","7|9|11|13|15|17|20","5","","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35001|35001|35001|35001|35001|35001|35001","","","","",0,"","","","","","35001","0","160156","","160219","skill_icon_1002",103503,"","10|13|16|19|22|25|30","5","","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"30063|30063|30063|30063|30063|30063|30063","3|4|5|6|7|8|10","","","",0,"","","","","","30063","0","160118","","160119","skill_icon_1001",104601,"","3%|4%|5%|6%|7%|8%|10%","5","9","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"30063|30063|30063|30063|30063|30063|30063","7|9|11|13|15|17|20","","","",0,"","","","","","30063","0","160118","","160119","skill_icon_1001",104602,"","7%|9%|11%|13%|15%|17%|20%","5","9","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"30063|30063|30063|30063|30063|30063|30063","10|13|16|19|22|25|30","","","",0,"","","","","","30063","0","160118","","160119","skill_icon_1001",104603,"","10%|13%|16%|19%|22%|25%|30%","5","9","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35003|35003|35003|35003|35003|35003|35003","","","","",0,"","","","","","35003","0","160156","","160219","skill_icon_1002",103601,"","3|4|5|6|7|8|10","5","","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35003|35003|35003|35003|35003|35003|35003","","","","",0,"","","","","","35003","0","160156","","160219","skill_icon_1002",103602,"","7|9|11|13|15|17|20","5","","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35003|35003|35003|35003|35003|35003|35003","","","","",0,"","","","","","35003","0","160156","","160219","skill_icon_1002",103603,"","10|13|16|19|22|25|30","5","","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"30062|30062|30062|30062|30062|30062|30062","","","","",0,"","","","","","30062","0","160118","","160119","skill_icon_1001",104701,"","3%|4%|5%|6%|7%|8%|10%","5","","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"30062|30062|30062|30062|30062|30062|30062","","","","",0,"","","","","","30062","0","160118","","160119","skill_icon_1001",104702,"","7%|9%|11%|13%|15%|17%|20%","5","","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"30062|30062|30062|30062|30062|30062|30062","","","","",0,"","","","","","30062","0","160118","","160119","skill_icon_1001",104703,"","10%|13%|16%|19%|22%|25%|30%","5","","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35000|35000|35000|35000|35000|35000|35000","","","","",0,"","","","","","35000","0","160156","","160219","skill_icon_1002",103701,"","2|3|4|4|5|6|7","5","","","","","2|3|4|4|5|6|7","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35000|35000|35000|35000|35000|35000|35000","","","","",0,"","","","","","35000","0","160156","","160219","skill_icon_1002",103702,"","5|7|8|10|11|13|15","5","","","","","5|7|8|10|11|13|15","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35000|35000|35000|35000|35000|35000|35000","","","","",0,"","","","","","35000","0","160156","","160219","skill_icon_1002",103703,"","10|13|16|19|22|25|30","5","","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"","","","","UIPVEHeroAppear_img_skill_1001",1,"","","","","","","0","160080","","","skill_icon_1001",200004,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","","600041;600042","",14,"","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","","0","160204","","","skill_icon_1001",200005,"","","5","","","","2|3|4|5","","","0|0|0|0|0","150|200|250|300|350","","","",14,"","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","","0","160106","","","skill_icon_1001",200006,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","50|100|150|200|300","","",14,"","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","","0","160168","","","skill_icon_1001",200007,"","","5","","","","2|3|4|5","","","0|0|0|0|0","","50|100|150|200|300","","",14,"","1"
"40010|40010|40010|40010|40010|40010|40010","","","","",0,"","","","","","40010","0","160140","","160051","skill_icon_1001",104801,"","3%|4%|5%|6%|7%|8%|10%","5","","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"40010|40010|40010|40010|40010|40010|40010","","","","",0,"","","","","","40010","0","160140","","160051","skill_icon_1001",104802,"","7%|9%|11%|13%|15%|17%|20%","5","","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"40010|40010|40010|40010|40010|40010|40010","","","","",0,"","","","","","40010","0","160140","","160051","skill_icon_1001",104803,"","10%|13%|16%|19%|22%|25%|30%","5","","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35006|35006|35006|35006|35006|35006|35006","","","","",0,"","","","","","35006","0","160156","","160219","skill_icon_1002",103801,"","3|4|5|6|7|8|10","5","","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35006|35006|35006|35006|35006|35006|35006","","","","",0,"","","","","","35006","0","160156","","160219","skill_icon_1002",103802,"","7|9|11|13|15|17|20","5","","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35006|35006|35006|35006|35006|35006|35006","","","","",0,"","","","","","35006","0","160156","","160219","skill_icon_1002",103803,"","10|13|16|19|22|25|30","5","","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"","","3|3|3|3|3|3|3|3|3|3","7","UIPVEHeroAppear_img_skill_1001",0,"","","3","","","35072","0","160162","","163011","skill_icon_1001",9200008,"","120%|140%|160%|180%|200%|220%|240%|260%|280%|300%","10","","","120|140|160|180|200|220|240|260|280|300","2|3|4|5","","","0|0|0|0|0","","","","",14,"163087","1"
"35095|35095|35095|35095|35095|35095|35095|35095|35095|35095","","","1","UIPVEHeroAppear_img_skill_1003",0,"160074","","2","","VFX_pve_skill_timeline","35095","0","160060","","163264","skill_icon_1003",9200009,"","20%|20%|20%|20%|20%|20%|20%|20%|20%|20%","10","","","","2|3|4|5","100|100|100|100|100|100|100|100|100|100","","0|0|0|0|0","","","","",14,"163087","1"
"","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","","0","","","","skill_icon_1003",9200010,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","600057","",14,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","","0","","","","skill_icon_1003",9200011,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","600055","",14,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","","0","","","","skill_icon_1003",9200012,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","600058","",14,"","1"
"30001|30001|30001|30001|30001|30001|30001","6|7|8|9|10","","","",0,"","","","","","30001","0","160056","","160057","skill_icon_1003",104901,"","3%|4%|5%|6%|7%|8%|10%","5","8","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30001|30001|30001|30001|30001|30001|30001","6|7|8|9|10","","","",0,"","","","","","30001","0","160056","","160057","skill_icon_1003",104902,"","7%|9%|11%|13%|15%|17%|20%","5","8","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30001|30001|30001|30001|30001|30001|30001","6|7|8|9|10","","","",0,"","","","","","30001","0","160056","","160057","skill_icon_1003",104903,"","10%|13%|16%|19%|22%|25%|30%","5","8","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"35005|35005|35005|35005|35005|35005|35005","","","","",0,"","","","","","35005","0","160156","","160219","skill_icon_1002",103901,"","3|4|5|6|7|8|10","5","","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35005|35005|35005|35005|35005|35005|35005","","","","",0,"","","","","","35005","0","160156","","160219","skill_icon_1002",103902,"","7|9|11|13|15|17|20","5","","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35005|35005|35005|35005|35005|35005|35005","","","","",0,"","","","","","35005","0","160156","","160219","skill_icon_1002",103903,"","10|13|16|19|22|25|30","5","","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","35135","0","160124","","163039","skill_icon_1004",9100068,"","50%|50%|50%|50%|50%|50%|50%|50%|50%|50%","1","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"163087","1"
"","","","1","UIPVEHeroAppear_img_skill_1001",1,"","700|770|840|910|980|1050|1120|1190|1260|1330","2","","","35070","0","160132","","163077","skill_icon_1001",9100069,"","700%|770%|840%|910%|980%|1050%|1120%|1190%|1260%|1330%","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",11,"150165","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","35129","0","160126","","163012","skill_icon_1002",9100070,"","5%|10%|15%|20%|25%|30%|35%|40%|45%|50%","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",12,"163087","1"
"35056|35056|35056|35056|35056|35056|35056","","","","",0,"","","","","","35056","0","160154","","160155","skill_icon_1001",105303,"","50%|65%|80%|95%|110%|125%|150%","5","","","","","50|65|80|95|110|125|150","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35056|35056|35056|35056|35056|35056|35056","","","","",0,"","","","","","35056","0","160154","","160155","skill_icon_1001",105302,"","33%|43%|53%|63%|73%|83%|100%","5","","","","","33|43|53|63|73|83|100","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35056|35056|35056|35056|35056|35056|35056","","","","",0,"","","","","","35056","0","160154","","160155","skill_icon_1001",105301,"","23%|30%|37%|44%|51%|58%|70%","5","","","","","23|30|37|44|51|58|70","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"30081|30081|30081|30081|30081|30081|30081","10|13|16|19|22|25|30","","","",0,"","","","","","30081","0","160056","","160057","skill_icon_1003",105203,"","10%|13%|16%|19%|22%|25%|30%","5","8","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30081|30081|30081|30081|30081|30081|30081","7|9|11|13|15|17|20","","","",0,"","","","","","30081","0","160056","","160057","skill_icon_1003",105202,"","7%|9%|11%|13%|15%|17%|20%","5","8","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30081|30081|30081|30081|30081|30081|30081","3|4|5|6|7|8|10","","","",0,"","","","","","30081","0","160056","","160057","skill_icon_1003",105201,"","3%|4%|5%|6%|7%|8%|10%","5","8","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30072;30077|30072;30077|30072;30077|30072;30077|30072;30077|30072;30077|30072;30077","3|4|5|6|7|8|10","","","",0,"","","","","","30072|30077","0","160056","","160057","skill_icon_1001",105103,"","10%|13%|16%|19%|22%|25%|30%","5","14","","","","3;3|4;4|5;5|6;6|7;7|8;8|10;10","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30072;30077|30072;30077|30072;30077|30072;30077|30072;30077|30072;30077|30072;30077","3|4|5|6|7|8|10","","","",0,"","","","","","30072|30077","0","160056","","160057","skill_icon_1001",105102,"","7%|9%|11%|13%|15%|17%|20%","5","14","","","","3;3|4;4|5;5|6;6|7;7|8;8|10;10","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30072;30077|30072;30077|30072;30077|30072;30077|30072;30077|30072;30077|30072;30077","3|4|5|6|7|8|10","","","",0,"","","","","","30072|30077","0","160096","","160097","skill_icon_1001",105101,"","3%|4%|5%|6%|7%|8%|10%","5","14","","","","3;3|4;4|5;5|6;6|7;7|8;8|10;10","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"40104|40104|40104|40104|40104|40104|40104|40104|40104|40104","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","40104","0","163228","","163232","skill_icon_027",9100130,"","3%|6%|9%|12%|15%|18%|21%|24%|27%|30%","10","","","","2|3|4|5","3|6|9|12|15|18|21|24|27|30","","0|0|0|0|0","","","","",2,"163087","1"
"35103|35103|35103|35103|35103|35103|35103|35103|35103|35103","","","1","UIPVEHeroAppear_img_skill_1004",0,"","","2","","VFX_pve_skill_timeline","35247","0","160140","","163301","skill_icon_1004",9100131,"0;20|0;30|0;40|0;50|0;60","15%|20%|25%|30%|35%|40%|45%|50%|55%|60%","10","","","","2|3|4|5","100|100|100|100|100|100|100|100|100|100","","0|0|0|0|0","","","","",16,"163087","1"
"35242|35242|35242|35242|35242|35242|35242|35242|35242|35242","","","1","UIPVEHeroAppear_img_skill_1004",0,"","","2","","VFX_pve_skill_timeline","35242","0","163295","","163298","skill_icon__026",9100132,"","5%|5%|5%|5%|5%|5%|5%|5%|5%|5%","1","","","","2|3|4|5","5|5|5|5|5|5|5|5|5|5","11","0|0|0|0|0","","","","",2,"163088","1"
"31008|31008|31008|31008|31008|31008|31008","10|13|16|19|22|25|30","","","",0,"","","","","","31008","0","160192","","160039","skill_icon_1002",104403,"","10%|13%|16%|19%|22%|25%|30%","5","23","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"31008|31008|31008|31008|31008|31008|31008","7|9|11|13|15|17|20","","","",0,"","","","","","31008","0","160192","","160039","skill_icon_1002",104402,"","7%|9%|11%|13%|15%|17%|20%","5","23","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"31008|31008|31008|31008|31008|31008|31008","3|4|5|6|7|8|10","","","",0,"","","","","","31008","0","160192","","160039","skill_icon_1002",104401,"","3%|4%|5%|6%|7%|8%|10%","5","23","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30071|30071|30071|30071|30071|30071|30071","10|13|16|19|22|25|30","","","",0,"","","","","","30071","0","160142","","160079","skill_icon_1002",104303,"","10%|13%|16%|19%|22%|25%|30%","5","21","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30071|30071|30071|30071|30071|30071|30071","7|9|11|13|15|17|20","","","",0,"","","","","","30071","0","160142","","160079","skill_icon_1002",104302,"","7%|9%|11%|13%|15%|17%|20%","5","21","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30071|30071|30071|30071|30071|30071|30071","3|4|5|6|7|8|10","","","",0,"","","","","","30071","0","160142","","160079","skill_icon_1002",104301,"","3%|4%|5%|6%|7%|8%|10%","5","21","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30070|30070|30070|30070|30070|30070|30070","10|13|16|19|22|25|30","","","",0,"","","","","","30070","0","160132","","160021","skill_icon_1004",104203,"","10%|13%|16%|19%|22%|25%|30%","5","20","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30070|30070|30070|30070|30070|30070|30070","7|9|11|13|15|17|20","","","",0,"","","","","","30070","0","160132","","160021","skill_icon_1004",104202,"","7%|9%|11%|13%|15%|17%|20%","5","20","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30070|30070|30070|30070|30070|30070|30070","3|4|5|6|7|8|10","","","",0,"","","","","","30070","0","160132","","160021","skill_icon_1004",104201,"","3%|4%|5%|6%|7%|8%|10%","5","20","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"35004|35004|35004|35004|35004|35004|35004","","","","",0,"","","","","","35004","0","160156","","160219","skill_icon_1002",104103,"","10|13|16|19|22|25|30","5","","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35004|35004|35004|35004|35004|35004|35004","","","","",0,"","","","","","35004","0","160156","","160219","skill_icon_1002",104102,"","5|7|8|10|11|13|15","5","","","","","5|7|8|10|11|13|15","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35004|35004|35004|35004|35004|35004|35004","","","","",0,"","","","","","35004","0","160156","","160219","skill_icon_1002",104101,"","2|3|4|4|5|6|7","5","","","","","2|3|4|4|5|6|7","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"","","","1","UIPVEHeroAppear_img_skill_1002",0,"","","2","","VFX_pve_skill_timeline","35000|35004","0","160102","","163256","skill_icon_029",9100052,"","1.5%;3%|3%;6%|4.5%;9%|6%;12%|7.5%;15%|9%;3%|10.5%;6%|12%;9%|13.5%;12%|15%;15%","10","","","","2|3|4|5","","","0|0|0|0|0","","","600043","",11,"150165","1"
"","","","7","UIPVEHeroAppear_img_skill_1002",1,"","180|210|240|270|300|330|360|390|420|450","3","","","35070","0","160162","","163005","skill_icon_1002",9100047,"","180%|210%|240%|270%|300%|330%|360%|390%|420%|450%","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",11,"150165","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","35102","0","160082","","163027","skill_icon_1002",9100046,"","30%|30%|30%|30%|30%|30%|30%|30%|30%|30%","1","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"163087","1"
"35000|35000|35000|35000|35000|35000|35000|35000|35000|35000","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","35000","0","160076","","163201","skill_icon_020",9100021,"","0.5%|1%|1.5%|2%|2.5%|3%|3.5%|4%|4.5%|5%","10","","","","2|3|4|5","0.5|1|1.5|2|2.5|3|3.5|4|4.5|5","","0|0|0|0|0","","","","",2,"163087","1"
"30109|30109|30109|30109|30109|30109|30109|30109|30109|30109","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","30109","0","164006","","164005","skill_icon_007",9100022,"","1.5%|3%|4.5%|6%|7.5%|9%|10.5%|12%|13.5%|15%","10","","","","2|3|4|5","1.5|3|4.5|6|7.5|9|10.5|12|13.5|15","","0|0|0|0|0","","","","",1,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","40020","0","160018","","163047","skill_icon_1003",9100023,"","5%|5%|5%|5%|5%|5%|5%|5%|5%|5%","1","","","","2|3|4|5","","","0|0|0|0|0","","","","",1,"163087","1"
"35068|35068|35068|35068|35068|35068|35068","","","","",0,"","","","","","35067","0","160156","","160219","skill_icon_1002",103303,"","10|13|16|19|22|25|30","5","","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35068|35068|35068|35068|35068|35068|35068","","","","",0,"","","","","","35067","0","160156","","160219","skill_icon_1002",103302,"","7|9|11|13|15|17|20","5","","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35068|35068|35068|35068|35068|35068|35068","","","","",0,"","","","","","35067","0","160156","","160219","skill_icon_1002",103301,"","3|4|5|6|7|8|10","5","","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35067|35067|35067|35067|35067|35067|35067","","","","",0,"","","","","","35067","0","160156","","160219","skill_icon_1002",103203,"","10|13|16|19|22|25|30","5","","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35067|35067|35067|35067|35067|35067|35067","","","","",0,"","","","","","35067","0","160156","","160219","skill_icon_1002",103202,"","7|9|11|13|15|17|20","5","","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35067|35067|35067|35067|35067|35067|35067","","","","",0,"","","","","","35067","0","160156","","160219","skill_icon_1002",103201,"","3|4|5|6|7|8|10","5","","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"40001|40001|40001|40001|40001|40001|40001","","","","",0,"","","","","","40001","0","160082","","160218","skill_icon_1002",103103,"","17|22|27|32|37|42|50","5","","","","","17|22|27|32|37|42|50","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"40001|40001|40001|40001|40001|40001|40001","","","","",0,"","","","","","40001","0","160082","","160218","skill_icon_1002",103102,"","10|13|16|19|22|25|30","5","","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",2,"150164","1"
